Tweets,Sentiment Score,Sentiment Magnitude
🇨🇴 y 🇪🇸 continúan juntas en el desafío de enfrentar el terrorismo y construir un mejor futuro para nuestros pueblos. ,0.400000006,0.400000006
Pedimos a Dios por nuestro Pdte. y por Colombia. ,0.400000006,0.400000006
Canadá rechaza de forma contundente el atentado cobarde sucedido ayer en contra del Presidente Duque y sus ministro del interior y de la defensa; y manifiesta su respaldo total a las instituciones colombianas. ,0.100000001,0.100000001
"Afortunadamente, estan todo ilesos. ",0.699999988,0.699999988
@CanadayColombia @CancilleriaCol. ,0,0
Agradezco a @JMVivancoHRW su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.300000012,0.300000012
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
Agradezco a @AlisonKinvara 🇮🇪 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.300000012,0.300000012
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
Agradezco a @llombartpatUE 🇪🇺 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.200000003,0.200000003
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
Agradecemos a @CancilleriaPma 🇵🇦su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.5,0.5
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
Agradecemos a @CancilleriaEc 🇪🇨 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.5,0.5
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
Uruguay condena atentado contra el Presidente de Colombia: 📰. ,0,0
Con vacunación masiva y reactivación segura vamos por más y más empleos para las familias colombianas. ,0.800000012,0.800000012
"Sabemos que la participación ciudadana es fundamental, por eso los invitamos a realizar comentarios sobre el CONPES para la #EconomíaSolidaria, política que se ha venido construyendo bajo los principios de transparencia y pluralismo. ",0.300000012,0.300000012
Agradezco a @marcel_lebleu 🇨🇦 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.400000006,0.400000006
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
I condemn the callous assassination attempt against President Duque and top officials in #Colombia and I fully support the Colombian govt’s efforts to bring the perpetrators to justice. ,-0.600000024,0.600000024
Agradezco a @MicheleRamis 🇫🇷 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.300000012,0.300000012
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
Agradezco a @ChrisMCantor 🇮🇱 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.300000012,0.300000012
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
Hasta $50 millones de recompensa a quien suministre información sobre los hechos ocurridos en el portal de las Américas en donde fallece un ciudadano. ,0.300000012,0.300000012
